3713	Salmon - Very Light	ffe2e2
761	Salmon - Light	ffc9c9
760	Salmon	f5adad
3712	Salmon - Medium	f18787
3328	Salmon - Dark	e36d6d
347	Salmon - Very Dark	bf2d2d
353	Peach	fed7cc
352	Coral - Light	fd9c97
351	Coral	e96a67
350	Coral - Medium	e04848
349	Coral - Dark	d21035
817	Coral Red - Very Dark	bb051f
3708	Melon - Light	ffcbd5
3706	Melon - Medium	ffadbc
3705	Melon - Dark	ff7992
3801	Melon - Very Dark	e74967
666	Red - Bright	e31d42
321	Red	c72b3b
304	Red - Medium	b71f33
498	Red - Dark	a7132b
816	Garnet	970b23
815	Garnet - Medium	87071f
814	Garnet - Dark	7b001b
894	Carnation - Very Light	ffb2bb
893	Carnation - Light	fc90a2
892	Carnation - Medium	ff798c
891	Carnation - Dark	ff5773
818	Baby Pink	ffdfd9
957	Geranium - Pale	fdb5b5
956	Geranium	ff9191
309	Rose - Dark	ba4a4a
963	Dusty Rose - Ultra Very Light	ffd7d7
3716	Dusty Rose - Medium Very Light	ffbdbd
962	Dusty Rose - Medium	e68a8a
961	Dusty Rose - Dark	cf7373
3833	Raspberry - Light	ea8699
3832	Raspberry - Medium	db556e
3831	Raspberry - Dark	b32f48
777	Raspberry - Very Dark	913546
819	Baby Pink - Light	ffeeeb
3326	Rose - Light	fbadb4
776	Pink - Medium	fcb0b9
899	Rose - Medium	f27688
335	Rose	ee546e
326	Rose - Very Dark	b33b4b
151	Dusty Rose - Very Light	f0ced4
3354	Dusty Rose - Light	e4a6ac
3733	Dusty Rose	e8879b
3731	Dusty Rose - Very Dark	da6783
3350	Dusty Rose - Ultra Dark	bc4365
150	Dusty Rose - Ultra Very Dark	ab0249
3689	Mauve - Light	fbbfc2
3688	Mauve - Medium	e7a9ac
3687	Mauve	c96b70
3803	Mauve - Dark	ab3357
3685	Mauve - Very Dark	881531
605	Cranberry - Very Light	ffc0cd
604	Cranberry - Light	ffb0be
603	Cranberry	ffa4be
602	Cranberry - Medium	e24874
601	Cranberry - Dark	d1286a
600	Cranberry - Very Dark	cd2f63
3806	Cyclamen Pink - Light	ff8cae
3805	Cyclamen Pink	f3478b
3804	Cyclamen Pink - Dark	e02876
3609	Plum - Ultra Light	f4aed5
3608	Plum - Very Light	ea9cc4
3607	Plum - Light	c54989
718	Plum	9c2462
917	Plum - Medium	9b1359
915	Plum - Dark	820043
225	Shell Pink - Ultra Very Light	ffdfd5
224	Shell Pink - Very Light	ebb7af
152	Shell Pink - Medium Light	e2a099
223	Shell Pink - Light	cc847c
3722	Shell Pink - Medium	bc6c64
3721	Shell Pink - Dark	a14b51
221	Shell Pink - Very Dark	883e43
778	Antique Mauve - Very Light	dfb3bb
3727	Antique Mauve - Light	dba9b2
316	Antique Mauve - Medium	b7737f
3726	Antique Mauve - Dark	9b5b66
315	Antique Mauve - Medium Dark	814952
3802	Antique Mauve - Very Dark	714149
902	Garnet - Very Dark	822637
3743	Antique Violet - Very Light	d7cbd3
3042	Antique Violet - Light	b79da7
3041	Antique Violet - Medium	956f7c
3740	Antique Violet - Dark	785762
3836	Grape - Light	ba91aa
3835	Grape - Medium	946083
3834	Grape - Dark	72375d
154	Grape - Very Dark	572433
211	Lavender - Light	e3cbe3
210	Lavender - Medium	c39fc3
209	Lavender - Dark	a37ba7
208	Lavender - Very Dark	835b8b
3837	Lavender - Ultra Dark	6c3a6e
327	Violet - Dark	633666
153	Violet - Very Light	e6ccd9
554	Violet - Light	dbb3cb
553	Violet	a3638b
552	Violet - Medium	803a6b
550	Violet - Very Dark	5c184e
3747	Blue Violet - Very Light	d3d7ed
341	Blue Violet - Light	b7bfdd
156	Blue Violet - Medium Light	a3aed1
340	Blue Violet - Medium	ada7c7
155	Blue Violet - Medium Dark	9891b6
3746	Blue Violet - Dark	776b98
333	Blue Violet - Very Dark	5c5478
157	Cornflower Blue - Very Light	bbc3d9
794	Cornflower Blue - Light	8f9cc1
793	Cornflower Blue - Medium	707da2
3807	Cornflower Blue	60678c
792	Cornflower Blue - Dark	555b7b
158	Cornflower Blu - Medium Very Dark	4c526e
791	Cornflower Blue - Very Dark	464563
3840	Lavender Blue - Light	b0c0da
3839	Lavender Blue - Medium	7b8eab
3838	Lavender Blue - Dark	5c7294
800	Delft Blue - Pale	c0ccde
809	Delft Blue	94a8c6
799	Delft Blue - Medium	748eb6
798	Delft Blue - Dark	466a8e
797	Royal Blue	13477d
796	Royal Blue - Dark	11416d
820	Royal Blue - Very Dark	0e365c
162	Blue - Ultra Very Light	dbecf5
827	Blue - Very Light	bddded
813	Blue - Light	a1c2d7
